idx,g_1,g_2,y,c_1,p_c_1,c_2,p_c_2,p,pb
0,4,6,10,4,0.9999960660934448,6,0.9999922513961792,10,0.999988317489624
1,1,1,2,1,0.9975086450576782,1,0.9996815919876099,2,0.9971910119056702
2,3,5,8,3,0.9995042085647583,5,0.9999873638153076,8,0.9994915723800659
3,5,9,14,5,1.0,9,0.9979010820388794,14,0.9979010820388794
4,6,4,10,6,0.9999992847442627,4,0.9999990463256836,10,0.9999983310699463
5,3,8,11,3,1.0,8,0.9999994039535522,11,0.9999994039535522
6,7,9,16,7,1.0,9,0.9620804190635681,16,0.9620804190635681
7,5,0,5,5,0.9999979734420776,0,0.9999998807907104,5,0.9999978542327881
8,8,1,9,8,0.9999510049819946,1,0.9999381303787231,9,0.9998891353607178
9,6,5,11,6,0.9999951124191284,5,0.9965115189552307,11,0.9965066313743591
10,0,3,3,0,1.0,3,0.9482359290122986,3,0.9482359290122986
11,2,4,6,2,0.9999711513519287,4,0.9999971389770508,6,0.9999682903289795
12,8,3,11,8,0.9996023774147034,3,0.9296664595603943,11,0.9292967915534973
13,1,5,6,1,0.9999028444290161,5,0.9999940395355225,6,0.9998968839645386
14,8,1,9,8,0.9991177916526794,1,0.9999544620513916,9,0.9990723133087158
15,4,2,6,4,0.9999985694885254,2,0.999996542930603,6,0.9999951124191284
16,2,8,10,2,0.9999918937683105,8,0.8026586771011353,10,0.8026521801948547
17,9,1,10,9,0.9986207485198975,1,0.9998757839202881,10,0.9984967112541199
18,6,7,13,6,0.999998927116394,7,0.9999974966049194,13,0.9999964237213135
19,7,1,8,7,0.9999961853027344,1,0.9966109395027161,8,0.9966071248054504
20,6,8,14,6,0.9991577863693237,8,0.9426096081733704,14,0.9418157339096069
21,6,1,7,6,0.9999960660934448,1,0.9967843294143677,7,0.9967803955078125
22,4,1,5,4,0.999998927116394,1,0.9997038245201111,5,0.9997027516365051
23,2,0,2,2,0.9999996423721313,0,0.9996328353881836,2,0.9996324777603149
24,1,8,9,1,0.9494864344596863,8,0.9999494552612305,9,0.9494384527206421
25,5,6,11,5,0.9999983310699463,6,0.9999983310699463,11,0.9999966621398926
26,3,1,4,3,0.9999806880950928,1,0.9791297316551208,4,0.979110836982727
27,3,0,3,3,0.9909858703613281,0,0.9998668432235718,3,0.9908539056777954
28,9,4,13,9,0.6929613947868347,4,0.9998254179954529,13,0.6928404569625854
29,1,0,1,1,0.9999881982803345,0,0.9999058246612549,1,0.9998940229415894
30,8,6,14,8,0.9999982118606567,6,0.9999889135360718,14,0.9999871253967285
31,5,8,13,5,0.999932050704956,8,0.9999990463256836,13,0.9999310970306396
32,8,0,8,8,0.9614081382751465,0,0.9999876022338867,8,0.9613962173461914
